1656.704,0.7854198813438416,-1.1344512144671839,0.7853946685791016,0.174452543258667,0.1744895726442337,4.793690095539205e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1754028438506515,-0.5810778827866578,0.43553837834786463,1.435433132270478,0.597315236348373,0.3510282890582867,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.712,0.7853959202766418,-1.1344512144671839,0.7853708267211914,0.174452543258667,0.17450155317783356,3.5952674807049334e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.17541934328517428,-0.5810767883128808,0.4355465140300082,1.4354243785488165,0.5973116379135099,0.3509735585427442,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.72,0.7854079008102417,-1.1344993750201624,0.7853589057922363,0.174452543258667,0.17452552914619446,3.5952674807049334e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1754031750987992,-0.5810711077291439,0.43557725363854427,1.4353936691704015,0.5973396737957595,0.35092107564839725,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.7279999999998,0.7854198813438416,-1.1344874540912073,0.7853827476501465,0.174452543258667,0.1745375096797943,2.3968450477696024e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1754003827203398,-0.5810778933339029,0.4355620584025208,1.4354056510739257,0.5973241433906892,0.35093859513224535,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.7359999999999,0.7853959202766418,-1.134463135396139,0.7853589057922363,0.17442858219146729,0.17447759211063385,1.1984225238848012e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.17541911164069462,-0.5810746675467847,0.4355546789858728,1.4353897330815768,0.5973786286959288,0.35093712926606774,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.744,0.7853959202766418,-1.1344512144671839,0.7853827476501465,0.17446446418762207,0.17447759211063385,2.3968450477696024e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.17541616917952574,-0.5810719198509441,0.4355409929930732,1.4354298383325674,0.5973240561769443,0.35099923208486195,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.752,0.7854079008102417,-1.1344993750201624,0.7853946685791016,0.17442858219146729,0.1745135337114334,-1.1746083394825746e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.17540725357474168,-0.581073585439097,0.4355610549860345,1.4353819966560926,0.59737518448404,0.35090098453217977,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.76,0.785383939743042,-1.134475056325094,0.7853827476501465,0.174452543258667,0.17452552914619446,1.1984225238848012e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1754240025421998,-0.5810733884103746,0.4355543531482121,1.4354156965552747,0.5973078096460662,0.3509187186717054,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.768,0.7854198813438416,-1.134463135396139,0.7853827476501465,0.17444050312042236,0.1745135337114334,1.1984225238848012e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.17540638796444993,-0.5810822480040361,0.43554745314765253,1.4354052272808182,0.5973440885441282,0.3509558869837768,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.7759999999998,0.7854318618774414,-1.1344512144671839,0.7853827476501465,0.17442858219146729,0.17447759211063385,3.5952674807049334e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.17539884526247712,-0.5810820185849235,0.4355412357407411,1.4354067139026263,0.5973652917873457,0.35101076295228323,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.7839999999999,0.7853599786758423,-1.1344993750201624,0.7853946685791016,0.17440450191497803,0.1745375096797943,2.3968450477696024e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.17543781487745186,-0.5810700140076547,0.4355635797808105,1.4353967341816019,0.5973110577129027,0.3508560570738132,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.792,0.7854318618774414,-1.134463135396139,0.7853827476501465,0.17444050312042236,0.17450155317783356,2.3968450477696024e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.17539750721378308,-0.5810819127379885,0.43554779347768924,1.4354050693116596,0.5973542296252157,0.35098361957348156,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,-1.1344640137963147,0.7853981633974483,0.17453292519943295,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
